,Fecha,Frecuencia,Prediccion
0,2023-05-01,0,
1,2023-05-02,14,
2,2023-05-03,20,
3,2023-05-04,13,
4,2023-05-05,11,
5,2023-05-06,0,
6,2023-05-07,0,
7,2023-05-08,14,
8,2023-05-09,20,
9,2023-05-10,13,
10,2023-05-11,9,
11,2023-05-12,13,
12,2023-05-13,0,
13,2023-05-14,0,
14,2023-05-15,18,
15,2023-05-16,17,
16,2023-05-17,14,
17,2023-05-18,20,
18,2023-05-19,5,
19,2023-05-20,0,
20,2023-05-21,0,
21,2023-05-22,16,
22,2023-05-23,13,
23,2023-05-24,15,
24,2023-05-25,10,
25,2023-05-26,1,
26,2023-05-27,0,
27,2023-05-28,0,
28,2023-05-29,22,
29,2023-05-30,24,
30,2023-05-31,14,
31,2023-06-01,8,
32,2023-06-02,7,
33,2023-06-03,0,
34,2023-06-04,0,
35,2023-06-05,18,
36,2023-06-06,21,
37,2023-06-07,14,
38,2023-06-08,12,
39,2023-06-09,12,
40,2023-06-10,0,
41,2023-06-11,0,
42,2023-06-12,15,
43,2023-06-13,18,
44,2023-06-14,15,
45,2023-06-15,22,
46,2023-06-16,12,
47,2023-06-17,0,
48,2023-06-18,0,
49,2023-06-19,18,
50,2023-06-20,19,
51,2023-06-21,24,
52,2023-06-22,17,
53,2023-06-23,23,
54,2023-06-24,0,
55,2023-06-25,0,
56,2023-06-26,19,
57,2023-06-27,18,
58,2023-06-28,13,
59,2023-06-29,16,
60,2023-06-30,10,
61,2023-07-01,0,
62,2023-07-02,0,
63,2023-07-03,21,
64,2023-07-04,15,
65,2023-07-05,19,
66,2023-07-06,21,
67,2023-07-07,14,
68,2023-07-08,0,
69,2023-07-09,0,
70,2023-07-10,14,
71,2023-07-11,13,
72,2023-07-12,23,
73,2023-07-13,16,
74,2023-07-14,10,
75,2023-07-15,0,
76,2023-07-16,0,
77,2023-07-17,21,
78,2023-07-18,15,
79,2023-07-19,16,
80,2023-07-20,19,
81,2023-07-21,6,
82,2023-07-22,0,
83,2023-07-23,0,
84,2023-07-24,20,
85,2023-07-25,14,
86,2023-07-26,19,
87,2023-07-27,11,
88,2023-07-28,16,
89,2023-07-29,0,
90,2023-07-30,0,
91,2023-07-31,18,0.0
92,2023-08-01,18,19.0
93,2023-08-02,18,16.0
94,2023-08-03,14,17.0
95,2023-08-04,12,6.0
96,2023-08-05,0,0.0
97,2023-08-06,0,1.0
98,2023-08-07,19,22.0
99,2023-08-08,17,22.0
100,2023-08-09,13,20.0
101,2023-08-10,11,20.0
102,2023-08-11,0,10.0
103,2023-08-12,0,0.0
104,2023-08-13,0,4.0
105,2023-08-14,24,24.0
106,2023-08-15,17,21.0
107,2023-08-16,12,19.0
108,2023-08-17,34,18.0
109,2023-08-18,39,6.0
110,2023-08-19,0,0.0
111,2023-08-20,0,1.0
112,2023-08-21,14,23.0
113,2023-08-22,13,27.0
114,2023-08-23,11,24.0
115,2023-08-24,9,24.0
116,2023-08-25,0,23.0
117,2023-08-26,0,10.0
118,2023-08-27,0,0.0
119,2023-08-28,8,21.0
120,2023-08-29,18,19.0
121,2023-08-30,7,17.0
